SGD	MSN4	stress-responsive transcriptional activator MSN4
SGD	MSN4	stress-responsive transcriptional activator MSN4
SGD	MSN4	stress-responsive transcriptional activator MSN4
SGD	MSN4	stress-responsive transcriptional activator MSN4
SGD	MSN4	stress-responsive transcriptional activator MSN4
SGD	MSN4	stress-responsive transcriptional activator MSN4
SGD	MSN4	stress-responsive transcriptional activator MSN4
SGD	MSN4	stress-responsive transcriptional activator MSN4
SGD	RGT1	
SGD	RGT1	
SGD	RGT1	
SGD	TOG1	
SGD	TOG1	
SGD	RPH1	
SGD	RPH1	
SGD	RPH1	
SGD	COM2	
SGD	SWI4	SBF complex DNA-binding subunit SWI4
SGD	SWI4	SBF complex DNA-binding subunit SWI4
SGD	SWI4	SBF complex DNA-binding subunit SWI4
SGD	SWI4	SBF complex DNA-binding subunit SWI4
SGD	PUT3	
SGD	PUT3	
SGD	AFT1	DNA-binding transcription factor AFT1
SGD	AFT1	DNA-binding transcription factor AFT1
SGD	AFT1	DNA-binding transcription factor AFT1
SGD	MIG1	transcription factor MIG1
SGD	MIG1	transcription factor MIG1
SGD	MIG1	transcription factor MIG1
SGD	MIG1	transcription factor MIG1
SGD	MIG1	transcription factor MIG1
SGD	MIG1	transcription factor MIG1
SGD	NRG1	transcriptional regulator NRG1
SGD	NRG1	transcriptional regulator NRG1
SGD	NRG1	transcriptional regulator NRG1
SGD	LYS14	
SGD	GAT1	
SGD	GAT1	
SGD	HAC1	transcription factor HAC1
SGD	HAC1	transcription factor HAC1
SGD	HAC1	transcription factor HAC1
SGD	HAC1	transcription factor HAC1
SGD	HAC1	transcription factor HAC1
SGD	ZNF1	DNA-binding domain containing protein
SGD	ZNF1	DNA-binding domain containing protein
SGD	BAS1	
SGD	BAS1	
SGD	BAS1	
SGD	UGA3	
SGD	UGA3	
SGD	OAF3	
SGD	OAF3	
SGD	OAF3	
SGD	DAL80	
SGD	DAL80	
SGD	YKL222C	
SGD	GCN4	amino acid starvation-responsive transcription factor GCN4
